"time","area","value"
"2025-01-03 03:00:00.000 +0000",SE2,0.5
"2025-01-03 03:00:00.000 +0000",SE3,37.0
"2025-01-03 04:00:00.000 +0000",NO3,9.1
"2025-01-03 04:00:00.000 +0000",SE2,0.5
"2025-01-03 04:00:00.000 +0000",SE3,37.0
"2025-01-03 05:00:00.000 +0000",NO3,10.54
"2025-01-03 05:00:00.000 +0000",SE2,3.0
"2025-01-03 05:00:00.000 +0000",SE3,39.23
"2025-01-03 06:00:00.000 +0000",NO3,15.07
"2025-01-03 06:00:00.000 +0000",SE2,4.0
"2025-01-03 06:00:00.000 +0000",SE3,52.32
"2025-01-03 07:00:00.000 +0000",NO3,16.0
"2025-01-03 07:00:00.000 +0000",SE2,4.0
"2025-01-03 07:00:00.000 +0000",SE3,80.9
"2025-01-03 08:00:00.000 +0000",NO3,10.81
"2025-01-03 08:00:00.000 +0000",SE2,4.0
"2025-01-03 08:00:00.000 +0000",SE3,42.0
"2025-01-03 09:00:00.000 +0000",NO3,18.62
"2025-01-03 09:00:00.000 +0000",SE2,4.0
"2025-01-03 09:00:00.000 +0000",SE3,42.0
"2025-01-03 10:00:00.000 +0000",NO3,20.0
"2025-01-03 10:00:00.000 +0000",SE2,-0.5
"2025-01-03 10:00:00.000 +0000",SE3,68.57
"2025-01-03 11:00:00.000 +0000",NO3,25.02
"2025-01-03 11:00:00.000 +0000",SE2,-3.39
"2025-01-03 11:00:00.000 +0000",SE3,55.95
"2025-01-03 12:00:00.000 +0000",NO3,31.04
"2025-01-03 12:00:00.000 +0000",SE2,-3.39
"2025-01-03 12:00:00.000 +0000",SE3,54.4
"2025-01-03 13:00:00.000 +0000",NO3,26.95
"2025-01-03 13:00:00.000 +0000",SE2,-5.0
"2025-01-03 13:00:00.000 +0000",SE3,53.96
"2025-01-03 14:00:00.000 +0000",NO3,24.19
"2025-01-03 14:00:00.000 +0000",SE2,-14.04
"2025-01-03 14:00:00.000 +0000",SE3,73.75
"2025-01-03 15:00:00.000 +0000",NO3,10.77
"2025-01-03 15:00:00.000 +0000",SE2,-14.05
"2025-01-03 15:00:00.000 +0000",SE3,100.74
"2025-01-03 16:00:00.000 +0000",NO3,14.22
"2025-01-03 16:00:00.000 +0000",SE2,-8.0
"2025-01-03 16:00:00.000 +0000",SE3,106.39
"2025-01-03 17:00:00.000 +0000",NO3,16.01
"2025-01-03 17:00:00.000 +0000",SE2,-8.0
"2025-01-03 17:00:00.000 +0000",SE3,109.22
"2025-01-03 18:00:00.000 +0000",NO3,12.02
"2025-01-03 18:00:00.000 +0000",SE2,-7.0
"2025-01-03 18:00:00.000 +0000",SE3,101.27
"2025-01-03 19:00:00.000 +0000",NO3,32.01
"2025-01-03 19:00:00.000 +0000",SE2,-7.0
"2025-01-03 19:00:00.000 +0000",SE3,84.49
"2025-01-03 20:00:00.000 +0000",NO3,17.23
"2025-01-03 20:00:00.000 +0000",SE2,-5.0
"2025-01-03 20:00:00.000 +0000",SE3,87.0
"2025-01-03 21:00:00.000 +0000",NO3,20.0
"2025-01-03 21:00:00.000 +0000",SE2,-9.81
"2025-01-03 21:00:00.000 +0000",SE3,70.0
"2025-01-03 22:00:00.000 +0000",NO3,17.1
"2025-01-03 22:00:00.000 +0000",SE2,-13.0
"2025-01-03 22:00:00.000 +0000",SE3,71.0
"2025-01-03 23:00:00.000 +0000",NO3,10.69
"2025-01-03 23:00:00.000 +0000",SE2,-7.0
"2025-01-03 23:00:00.000 +0000",SE3,187.0
"2025-01-04 00:00:00.000 +0000",NO3,12.29
"2025-01-04 00:00:00.000 +0000",SE2,-1.0
"2025-01-04 00:00:00.000 +0000",SE3,116.5
"2025-01-04 01:00:00.000 +0000",NO3,14.81
"2025-01-04 01:00:00.000 +0000",SE2,-1.0
"2025-01-04 01:00:00.000 +0000",SE3,52.0
"2025-01-04 02:00:00.000 +0000",NO3,14.77
"2025-01-04 02:00:00.000 +0000",SE2,-1.0
"2025-01-04 02:00:00.000 +0000",SE3,47.0
"2025-01-04 03:00:00.000 +0000",NO3,12.81
"2025-01-04 03:00:00.000 +0000",SE2,-1.0
"2025-01-04 03:00:00.000 +0000",SE3,56.0
"2025-01-04 04:00:00.000 +0000",NO3,14.04
"2025-01-04 04:00:00.000 +0000",SE2,-1.0
"2025-01-04 04:00:00.000 +0000",SE3,57.0
"2025-01-04 05:00:00.000 +0000",NO3,18.89
"2025-01-04 05:00:00.000 +0000",SE2,-2.0
"2025-01-04 05:00:00.000 +0000",SE3,58.13
"2025-01-04 06:00:00.000 +0000",SE2,-1.5
"2025-01-04 06:00:00.000 +0000",SE3,101.0
"2025-01-04 06:00:00.000 +0000",NO3,10.49
"2025-01-04 07:00:00.000 +0000",SE2,-1.5
"2025-01-04 07:00:00.000 +0000",NO3,9.27
"2025-01-04 07:00:00.000 +0000",SE3,100.2
"2025-01-04 08:00:00.000 +0000",NO3,9.99
"2025-01-04 08:00:00.000 +0000",SE2,1.0
"2025-01-04 08:00:00.000 +0000",SE3,105.85
"2025-01-04 09:00:00.000 +0000",NO3,10.99
"2025-01-04 09:00:00.000 +0000",SE2,15.3
"2025-01-04 09:00:00.000 +0000",SE3,124.0
"2025-01-04 10:00:00.000 +0000",NO3,9.94
"2025-01-04 10:00:00.000 +0000",SE2,12.96
"2025-01-04 10:00:00.000 +0000",SE3,120.0
"2025-01-04 11:00:00.000 +0000",NO3,9.95
"2025-01-04 11:00:00.000 +0000",SE2,6.79
"2025-01-04 11:00:00.000 +0000",SE3,103.39
"2025-01-04 12:00:00.000 +0000",NO3,10.94
"2025-01-04 12:00:00.000 +0000",SE2,6.42
"2025-01-04 12:00:00.000 +0000",SE3,78.06
"2025-01-04 13:00:00.000 +0000",NO3,17.52
"2025-01-04 13:00:00.000 +0000",SE2,13.68
"2025-01-04 13:00:00.000 +0000",SE3,112.13
"2025-01-04 14:00:00.000 +0000",NO3,17.19
"2025-01-04 14:00:00.000 +0000",SE2,13.68
"2025-01-04 14:00:00.000 +0000",SE3,136.54
"2025-01-04 15:00:00.000 +0000",NO3,52.71
"2025-01-04 15:00:00.000 +0000",SE2,10.5
"2025-01-04 15:00:00.000 +0000",SE3,144.86
"2025-01-04 16:00:00.000 +0000",NO3,21.81
"2025-01-04 16:00:00.000 +0000",SE2,6.96
"2025-01-04 16:00:00.000 +0000",SE3,149.02
"2025-01-04 17:00:00.000 +0000",NO3,44.55
"2025-01-04 17:00:00.000 +0000",SE2,6.42
"2025-01-04 17:00:00.000 +0000",SE3,145.0
"2025-01-04 18:00:00.000 +0000",NO3,42.18
"2025-01-04 18:00:00.000 +0000",SE2,6.87
"2025-01-04 18:00:00.000 +0000",SE3,145.0
"2025-01-04 19:00:00.000 +0000",NO3,34.9
"2025-01-04 19:00:00.000 +0000",SE2,6.97
"2025-01-04 19:00:00.000 +0000",SE3,126.0
"2025-01-04 20:00:00.000 +0000",SE2,9.83
"2025-01-04 20:00:00.000 +0000",NO3,43.45
"2025-01-04 20:00:00.000 +0000",SE3,117.36
"2025-01-04 21:00:00.000 +0000",NO3,26.26
"2025-01-04 21:00:00.000 +0000",SE2,11.96
"2025-01-04 21:00:00.000 +0000",SE3,93.0
"2025-01-04 22:00:00.000 +0000",NO3,23.11
"2025-01-04 22:00:00.000 +0000",SE2,11.5
"2025-01-04 22:00:00.000 +0000",SE3,62.59
"2025-01-04 23:00:00.000 +0000",NO3,24.27
"2025-01-04 23:00:00.000 +0000",SE2,19.31
"2025-01-04 23:00:00.000 +0000",SE3,110.0
"2025-01-05 00:00:00.000 +0000",NO3,24.63
