"time","area","value"
"2025-01-04 08:00:00.000 +0000",SE2,5.57
"2025-01-04 08:00:00.000 +0000",NO3,9.99
"2025-01-04 09:00:00.000 +0000",SE3,106.43
"2025-01-04 09:00:00.000 +0000",SE2,5.75
"2025-01-04 09:00:00.000 +0000",NO3,10.99
"2025-01-04 10:00:00.000 +0000",SE3,105.57
"2025-01-04 10:00:00.000 +0000",SE2,6.01
"2025-01-04 10:00:00.000 +0000",NO3,9.94
"2025-01-04 11:00:00.000 +0000",SE3,103.39
"2025-01-04 11:00:00.000 +0000",SE2,6.79
"2025-01-04 11:00:00.000 +0000",NO3,9.95
"2025-01-04 12:00:00.000 +0000",SE3,78.06
"2025-01-04 12:00:00.000 +0000",SE2,6.42
"2025-01-04 12:00:00.000 +0000",NO3,10.94
"2025-01-04 13:00:00.000 +0000",SE3,112.13
"2025-01-04 13:00:00.000 +0000",SE2,6.37
"2025-01-04 13:00:00.000 +0000",NO3,17.52
"2025-01-04 14:00:00.000 +0000",SE3,136.54
"2025-01-04 14:00:00.000 +0000",SE2,6.41
"2025-01-04 14:00:00.000 +0000",NO3,17.19
"2025-01-04 15:00:00.000 +0000",SE3,144.86
"2025-01-04 15:00:00.000 +0000",SE2,5.96
"2025-01-04 15:00:00.000 +0000",NO3,52.71
"2025-01-04 16:00:00.000 +0000",SE3,149.02
"2025-01-04 16:00:00.000 +0000",SE2,6.96
"2025-01-04 16:00:00.000 +0000",NO3,21.81
"2025-01-04 17:00:00.000 +0000",SE3,142.99
"2025-01-04 17:00:00.000 +0000",SE2,6.42
"2025-01-04 17:00:00.000 +0000",NO3,44.55
"2025-01-04 18:00:00.000 +0000",SE3,136.1
"2025-01-04 18:00:00.000 +0000",SE2,6.87
"2025-01-04 18:00:00.000 +0000",NO3,42.18
"2025-01-04 19:00:00.000 +0000",SE3,119.98
"2025-01-04 19:00:00.000 +0000",SE2,6.97
"2025-01-04 19:00:00.000 +0000",NO3,34.9
"2025-01-04 20:00:00.000 +0000",SE3,116.49
"2025-01-04 20:00:00.000 +0000",SE2,6.84
"2025-01-04 20:00:00.000 +0000",NO3,43.45
"2025-01-04 21:00:00.000 +0000",SE3,75.03
"2025-01-04 21:00:00.000 +0000",SE2,6.96
"2025-01-04 21:00:00.000 +0000",NO3,26.26
"2025-01-04 22:00:00.000 +0000",SE3,62.59
"2025-01-04 22:00:00.000 +0000",SE2,6.98
"2025-01-04 22:00:00.000 +0000",NO3,23.11
"2025-01-04 23:00:00.000 +0000",SE3,55.25
"2025-01-04 23:00:00.000 +0000",SE2,14.99
"2025-01-04 23:00:00.000 +0000",NO3,24.27
"2025-01-05 00:00:00.000 +0000",SE3,55.99
"2025-01-05 00:00:00.000 +0000",SE2,15.56
"2025-01-05 00:00:00.000 +0000",NO3,24.63
"2025-01-05 01:00:00.000 +0000",SE3,56.97
"2025-01-05 01:00:00.000 +0000",SE2,15.38
"2025-01-05 01:00:00.000 +0000",NO3,24.8
"2025-01-05 02:00:00.000 +0000",SE3,58.94
"2025-01-05 02:00:00.000 +0000",SE2,13.98
"2025-01-05 02:00:00.000 +0000",NO3,24.65
"2025-01-05 03:00:00.000 +0000",SE3,67.77
"2025-01-05 03:00:00.000 +0000",SE2,13.81
