"time","forecast"," "
2025-01-05 10:00:00,dayahead,29.477285
2025-01-05 10:00:00,replan,71.18139
2025-01-05 11:00:00,dayahead,45.44307
2025-01-05 11:00:00,replan,110.6897
2025-01-05 12:00:00,dayahead,51.62499
2025-01-05 12:00:00,replan,75.62606
2025-01-05 13:00:00,dayahead,42.981445
2025-01-05 13:00:00,replan,81.68223
2025-01-05 14:00:00,dayahead,31.754633
2025-01-05 14:00:00,replan,86.40737
2025-01-05 15:00:00,dayahead,38.083183
2025-01-05 15:00:00,replan,77.66695
2025-01-05 16:00:00,dayahead,28.752562
2025-01-05 16:00:00,replan,54.19243
2025-01-05 17:00:00,dayahead,12.08114
2025-01-05 17:00:00,replan,43.34706
2025-01-05 18:00:00,dayahead,7.8597426
2025-01-05 18:00:00,replan,40.792576
2025-01-05 19:00:00,dayahead,3.0473762
2025-01-05 19:00:00,replan,23.599575
2025-01-05 20:00:00,dayahead,2.8811824
2025-01-05 20:00:00,replan,18.759068
2025-01-05 21:00:00,dayahead,1.6755829
2025-01-05 21:00:00,replan,17.331408
2025-01-05 22:00:00,dayahead,1.4956795
2025-01-05 22:00:00,replan,14.0373955
2025-01-05 23:00:00,dayahead,0.49291933
2025-01-05 23:00:00,replan,4.589684
2025-01-06 00:00:00,dayahead,0.20464501
2025-01-06 00:00:00,replan,7.567642
2025-01-06 01:00:00,dayahead,1.43458
2025-01-06 01:00:00,replan,19.339617
2025-01-06 02:00:00,dayahead,4.9855003
2025-01-06 02:00:00,replan,24.216396
2025-01-06 03:00:00,dayahead,8.340609
2025-01-06 03:00:00,replan,22.907183
2025-01-06 04:00:00,dayahead,9.645396
2025-01-06 04:00:00,replan,24.619097
2025-01-06 05:00:00,dayahead,19.439573
2025-01-06 05:00:00,replan,35.98671
2025-01-06 06:00:00,dayahead,30.16129
2025-01-06 06:00:00,replan,54.817234
2025-01-06 07:00:00,dayahead,41.082844
2025-01-06 07:00:00,replan,70.5157
2025-01-06 08:00:00,dayahead,85.98281
2025-01-06 08:00:00,replan,99.75542
2025-01-06 09:00:00,dayahead,120.60475
2025-01-06 09:00:00,replan,105.91745
2025-01-06 10:00:00,dayahead,155.24649
2025-01-06 10:00:00,replan,139.44373
2025-01-06 11:00:00,dayahead,160.09167
2025-01-06 11:00:00,replan,170.34332
2025-01-06 12:00:00,dayahead,183.62978
2025-01-06 12:00:00,replan,206.21086
2025-01-06 13:00:00,dayahead,210.48122
2025-01-06 13:00:00,replan,217.48485
2025-01-06 14:00:00,dayahead,216.38353
2025-01-06 14:00:00,replan,228.81177
2025-01-06 15:00:00,dayahead,208.00697
2025-01-06 15:00:00,replan,231.20755
2025-01-06 16:00:00,dayahead,218.64041
2025-01-06 16:00:00,replan,232.55388
2025-01-06 17:00:00,dayahead,224.3148
2025-01-06 17:00:00,replan,229.68803
2025-01-06 18:00:00,dayahead,229.2859
2025-01-06 18:00:00,replan,234.85172
