"time","forecast"," "
2025-01-04 20:00:00,dayahead,80.09126
2025-01-04 20:00:00,replan,80.21177
2025-01-04 21:00:00,dayahead,76.945274
2025-01-04 21:00:00,replan,59.082504
2025-01-04 22:00:00,dayahead,80.231636
2025-01-04 22:00:00,replan,60.054714
2025-01-04 23:00:00,dayahead,69.12488
2025-01-04 23:00:00,replan,62.49833
2025-01-05 00:00:00,dayahead,68.61495
2025-01-05 00:00:00,replan,57.05955
2025-01-05 01:00:00,dayahead,65.991875
2025-01-05 01:00:00,replan,59.765034
2025-01-05 02:00:00,dayahead,56.634056
2025-01-05 02:00:00,replan,55.772697
2025-01-05 03:00:00,dayahead,50.29697
2025-01-05 03:00:00,replan,64.317406
2025-01-05 04:00:00,dayahead,38.278843
2025-01-05 05:00:00,dayahead,35.247192
2025-01-05 05:00:00,replan,58.74985
2025-01-05 06:00:00,dayahead,29.564177
2025-01-05 06:00:00,replan,49.517963
2025-01-05 07:00:00,dayahead,26.275923
2025-01-05 07:00:00,replan,42.80695
2025-01-05 08:00:00,dayahead,21.53749
2025-01-05 08:00:00,replan,43.27278
2025-01-05 09:00:00,dayahead,19.072987
2025-01-05 09:00:00,replan,48.9612
2025-01-05 10:00:00,dayahead,19.42204
2025-01-05 10:00:00,replan,47.81659
2025-01-05 11:00:00,dayahead,12.429669
2025-01-05 11:00:00,replan,45.87891
2025-01-05 12:00:00,dayahead,7.6136193
2025-01-05 12:00:00,replan,39.40107
2025-01-05 13:00:00,dayahead,5.7849536
2025-01-05 13:00:00,replan,28.71309
2025-01-05 14:00:00,dayahead,5.755373
2025-01-05 14:00:00,replan,20.052214
2025-01-05 15:00:00,dayahead,3.6524248
2025-01-05 15:00:00,replan,19.233002
2025-01-05 16:00:00,dayahead,1.7603168
2025-01-05 16:00:00,replan,14.126528
2025-01-05 17:00:00,dayahead,0.92194426
2025-01-05 17:00:00,replan,8.647314
2025-01-05 18:00:00,dayahead,0.46226832
2025-01-05 18:00:00,replan,11.617838
2025-01-05 19:00:00,dayahead,0.6329823
2025-01-05 19:00:00,replan,6.1815476
2025-01-05 20:00:00,dayahead,1.3055204
2025-01-05 20:00:00,replan,7.1824245
2025-01-05 21:00:00,dayahead,1.6369758
2025-01-05 21:00:00,replan,8.487224
2025-01-05 22:00:00,dayahead,1.8029473
2025-01-05 22:00:00,replan,6.0240507
2025-01-05 23:00:00,dayahead,11.928668
2025-01-05 23:00:00,replan,1.2219471
2025-01-06 00:00:00,dayahead,7.8839946
2025-01-06 00:00:00,replan,0.57618624
2025-01-06 01:00:00,dayahead,5.248961
2025-01-06 01:00:00,replan,1.8515565
2025-01-06 02:00:00,dayahead,4.5006137
2025-01-06 02:00:00,replan,2.170639
2025-01-06 03:00:00,dayahead,1.09603
